61187 	 0.17934081 	 0.40965770 	 0.019648492 	nan 	nan 	nan 	 0.26296 	-0.13797
61188 	 0.17998010 	 0.40947766 	 0.018839121 	nan 	nan 	nan 	 0.43553 	-0.11846
61189 	 0.18140175 	 0.40864248 	 0.018159866 	nan 	nan 	nan 	 0.41168 	-0.05093
61190 	 0.18222566 	 0.40705368 	 0.017287731 	nan 	nan 	nan 	 0.35491 	-0.03564
61191 	 0.18218130 	 0.40510977 	 0.017135620 	nan 	nan 	nan 	 0.22540 	-0.01230
61192 	 0.18419245 	 0.40396598 	 0.016526222 	nan 	nan 	nan 	 0.12794 	-0.01904
61193 	 0.18168740 	 0.40332144 	 0.016679287 	nan 	nan 	nan 	 0.02128 	-0.10565
61194 	 0.17994166 	 0.40365430 	 0.016590118 	nan 	nan 	nan 	-0.01398 	-0.09830
61195 	 0.17621081 	 0.40545440 	 0.015874863 	nan 	nan 	nan 	 0.05453 	-0.12108
61196 	 0.17154488 	 0.40751150 	 0.015033722 	nan 	nan 	nan 	 0.16067 	-0.14243
61197 	 0.16820194 	 0.40902420 	 0.014831543 	nan 	nan 	nan 	 0.29535 	-0.10629
