61222 	 0.20545679 	 0.38888642 	 0.014495850 	nan 	nan 	nan 	 0.23039 	-0.06802
61223 	 0.20667038 	 0.38794263 	 0.014994681 	nan 	nan 	nan 	 0.35878 	-0.08650
61224 	 0.20701696 	 0.38694720 	 0.014770269 	nan 	nan 	nan 	 0.37623 	-0.05039
61225 	 0.20842785 	 0.38613183 	 0.014389992 	nan 	nan 	nan 	 0.31224 	-0.05977
61226 	 0.20911911 	 0.38521431 	 0.013805628 	nan 	nan 	nan 	 0.22341 	-0.08112
61227 	 0.20913031 	 0.38447420 	 0.013323665 	nan 	nan 	nan 	 0.20333 	-0.11486
61228 	 0.21004308 	 0.38374074 	 0.012871742 	nan 	nan 	nan 	 0.15700 	-0.16024
61229 	 0.20946295 	 0.38326490 	 0.011553288 	nan 	nan 	nan 	 0.15915 	-0.19177
61230 	 0.20988277 	 0.38191950 	 0.010744095 	nan 	nan 	nan 	 0.17158 	-0.20816
61231 	 0.21019533 	 0.38064334 	 0.009971619 	nan 	nan 	nan 	 0.22558 	-0.19618
61232 	 0.20827780 	 0.38034306 	 0.008973122 	nan 	nan 	nan 	 0.33580 	-0.15399
